iter	Passed	Remaining
0	173	173667
1	174	87315
2	176	58556
3	177	44185
4	178	35511
5	179	29746
6	180	25620
7	181	22517
8	182	20109
9	183	18185
10	184	16602
11	185	15297
12	187	14203
13	188	13251
14	189	12425
15	190	11711
16	191	11068
17	192	10496
18	193	9986
19	194	9528
20	195	9119
21	196	8740
22	197	8396
23	201	8214
24	203	7924
25	204	7658
26	205	7410
27	206	7177
28	207	6964
29	209	6775
30	210	6594
31	211	6412
32	212	6240
33	213	6065
34	214	5912
35	215	5771
36	216	5641
37	218	5519
38	218	5391
39	219	5276
40	220	5167
41	221	5063
42	223	4964
43	224	4870
44	225	4780
45	226	4693
46	227	4611
47	228	4533
48	229	4456
49	230	4380
50	231	4309
51	232	4242
52	233	4175
53	234	4111
54	235	4050
55	236	3993
56	237	3937
57	238	3881
58	240	3828
59	241	3779
60	242	3729
61	243	3681
62	244	3633
63	245	3590
64	246	3549
65	247	3507
66	248	3464
67	249	3423
68	250	3378
69	251	3340
70	252	3305
71	253	3269
72	254	3233
73	255	3201
74	257	3169
75	258	3139
76	259	3111
77	260	3082
78	261	3053
79	263	3024
80	264	2996
81	265	2969
82	266	2942
83	267	2917
84	268	2893
85	269	2868
86	271	2844
87	272	2819
88	273	2795
89	274	2771
90	275	2749
91	276	2727
92	277	2707
93	278	2687
94	279	2666
95	281	2647
96	282	2627
97	283	2609
98	284	2591
99	285	2572
100	287	2554
101	288	2536
102	289	2518
103	290	2501
104	291	2486
105	292	2468
106	293	2452
107	295	2437
108	296	2421
109	297	2405
110	298	2389
111	299	2375
112	300	2361
113	301	2346
114	303	2333
115	304	2319
116	305	2305
117	306	2292
118	307	2278
119	308	2264
120	309	2251
121	311	2238
122	312	2226
123	313	2214
124	314	2201
125	315	2188
126	316	2176
127	317	2165
128	319	2154
129	320	2142
130	321	2131
131	322	2121
132	323	2110
133	324	2099
134	326	2089
135	327	2079
136	328	2069
137	329	2059
138	330	2049
139	332	2040
140	333	2031
141	334	2023
142	335	2013
143	348	2069
144	349	2060
145	350	2051
146	351	2041
147	352	2030
148	353	2020
149	354	2010
150	355	2000
151	357	1991
152	358	1983
153	359	1973
154	360	1963
155	361	1954
156	362	1945
157	363	1937
158	364	1928
159	365	1917
160	368	1919
161	369	1910
162	370	1902
163	371	1894
164	372	1886
165	373	1878
166	374	1870
167	376	1862
168	377	1855
169	378	1848
170	379	1841
171	381	1834
172	382	1826
173	383	1819
174	384	1812
175	385	1806
176	387	1799
177	388	1792
178	389	1786
179	390	1779
180	391	1772
181	392	1764
182	393	1758
183	395	1752
184	396	1745
185	397	1739
186	398	1733
187	399	1726
188	400	1720
189	402	1713
190	403	1707
191	404	1700
192	405	1694
193	406	1688
194	407	1682
195	408	1676
196	409	1669
197	410	1664
198	411	1658
199	413	1652
200	414	1646
201	415	1640
202	416	1634
203	417	1628
204	418	1623
205	419	1617
206	420	1611
207	421	1605
208	422	1600
209	423	1594
210	424	1588
211	425	1582
212	426	1577
213	428	1572
214	429	1567
215	430	1561
216	431	1556
217	432	1551
218	433	1546
219	434	1541
220	435	1536
221	437	1531
222	438	1527
223	439	1523
224	441	1519
225	442	1514
226	443	1509
227	444	1505
228	445	1500
229	446	1496
230	448	1491
231	449	1487
232	450	1483
233	451	1479
234	453	1476
235	454	1472
236	455	1467
237	456	1462
238	457	1458
239	459	1453
240	460	1449
241	461	1444
242	462	1440
243	463	1435
244	464	1430
245	465	1426
246	466	1422
247	467	1418
248	468	1414
249	469	1409
250	471	1405
251	472	1401
252	473	1397
253	474	1393
254	475	1389
255	476	1385
256	477	1379
257	478	1375
258	479	1371
259	480	1367
260	481	1363
261	482	1359
262	483	1354
263	484	1351
264	485	1347
265	486	1342
266	487	1338
267	488	1334
268	489	1330
269	490	1327
270	492	1323
271	493	1319
272	494	1315
273	495	1312
274	496	1309
275	497	1305
276	498	1301
277	499	1297
278	500	1293
279	501	1290
280	503	1287
281	504	1284
